people_id,person_hash,party,role,name,first_name,middle_name,last_name,suffix,district,votesmart_id,ballotpedia
25236,0jae3jt1,R,Rep,Mitch Little,Mitch,,Little,,HD-065,213436,Mitch_Little
25237,uifd17fv,R,Rep,Wesley Virdell,Wesley,,Virdell,,HD-053,188187,Wesley_Virdell
25361,5tu6f3s6,R,Rep,Caroline Fairly,Caroline,,Fairly,,HD-087,213464,Caroline_Fairly
25362,2ontlkc2,R,Rep,AJ Louderback,AJ,,Louderback,,HD-030,201076,A.J._Louderback
25434,lv7268ye,R,Rep,Daniel Alders,Daniel,,Alders,,HD-006,213312,Daniel_Alders
25510,eiovhvwu,R,Rep,Jeff Barry,Jeffrey,,Barry,,HD-029,213353,Jeffrey_Barry
25511,cdyz245z,R,Rep,Helen Kerwin,Helen,,Kerwin,,HD-058,214548,Helen_Kerwin
25512,u5rno93c,R,Rep,Paul Dyson,Paul,,Dyson,,HD-014,213320,Paul_Dyson
25519,ye3qklnn,R,Rep,Joanne Shofner,Joanne,,Shofner,,HD-011,213316,Joanne_Shofner
26329,bmuofipl,D,Rep,Aicha Davis,Aicha,,Davis,,HD-109,177375,Aicha_Davis
26330,32f0y9yt,D,Rep,Linda Garcia,Linda,,Garcia,,HD-107,213480,Linda_Garcia_(Texas_state_house_candidate)
26331,txokpg5t,R,Rep,Janis Holt,Janis,,Holt,,HD-018,201229,Janis_Holt
26332,dye2ps74,R,Rep,Marc LaHood,Marc,,LaHood,,HD-121,213492,Marc_LaHood
26333,l9vwhwv9,R,Rep,David Lowe,David,,Lowe,,HD-091,201376,David_Lowe_(Texas)
26334,9d6hoq0b,R,Rep,Shelley Luther,Shelley,,Luther,,HD-062,195312,Shelley_Luther
26335,75snaif9,R,Rep,Don McLaughlin,Don,,McLaughlin,Jr.,HD-080,213451,Don_McLaughlin
26336,61jgsz0h,R,Rep,John McQueeney,John,,McQueeney,,HD-097,213473,John_McQueeney
26337,p1kz5x4u,R,Rep,Brent Money,Brent,,Money,,HD-002,212765,Brent_Money
26338,fxyf7d41,R,Rep,Matt Morgan,Matt,,Morgan,,HD-026,188379,Matt_Morgan_(Texas)
26339,0c2k0vcf,D,Rep,Vincent Perez,Vincent,,Perez,,HD-077,163449,Vincent_Perez
26340,jba0r255,R,Rep,Keresa Richardson,Keresa,,Richardson,,HD-061,213432,Keresa_Richardson
26341,wiwwfdf0,R,Rep,Denise Villalobos,Denise,,Villalobos,,HD-034,213362,Denise_Villalobos
26342,vizeuq49,D,Rep,Charlene Ward Johnson,Charlene,,Ward Johnson,,HD-139,213505,Charlene_Ward_Johnson
26343,0e675byx,R,Rep,Trey Wharton,Trey,,Wharton,,HD-012,213317,Trey_Wharton
26344,fywlfq52,R,Sen,Brent Hagenbuch,Brent,,Hagenbuch,,SD-030,213307,Brent_Hagenbuch
26345,4dqpx2p3,R,Sen,Adam Hinojosa,Adam,,Hinojosa,,SD-027,201052,Adam_Hinojosa
